performance_id,composer,piece_id,title,source,performance_audio_external,performance_MIDI_external,MIDI_score_external,performance_annotation_external,score_annotation_external,folder,performance_audio,performance_MIDI,MIDI_score,aligned,performance_annotation,score_annotation,duration,split,alignment_annotation,aligned_notes_ratio_perfm,aligned_notes_ratio_score
S_1,Albeniz,2,CPM_Espana_Opus_165_Tango,MAPS,{MAPS}/AkPnCGdD/MUS/MAPS_MUS-alb_esp2_AkPnCGdD.wav,{A_MAPS}/MAPS_MUS-alb_esp2_AkPnCGdD.mid,{A_MAPS}/MAPS_MUS-alb_esp2_AkPnCGdD.mid,,,subset_S/Albeniz/2_CPM_Espana_Opus_165_Tango,S_1_MAPS.wav,S_1_A_MAPS_alb_esp2_AkPnCGdD.mid,S_1_A_MAPS_alb_esp2_AkPnCGdD.mid,True,S_1_A_MAPS_annotation.tsv,S_1_A_MAPS_annotation.tsv,125.45699299999988,train,-1,-1.0,-1.0
S_2,Albeniz,2,CPM_Espana_Opus_165_Tango,MAPS,{MAPS}/AkPnStgb/MUS/MAPS_MUS-alb_esp2_AkPnStgb.wav,{A_MAPS}/MAPS_MUS-alb_esp2_AkPnStgb.mid,{A_MAPS}/MAPS_MUS-alb_esp2_AkPnStgb.mid,,,subset_S/Albeniz/2_CPM_Espana_Opus_165_Tango,S_2_MAPS.wav,S_2_A_MAPS_alb_esp2_AkPnStgb.mid,S_2_A_MAPS_alb_esp2_AkPnStgb.mid,True,S_2_A_MAPS_annotation.tsv,S_2_A_MAPS_annotation.tsv,125.45699299999988,train,-1,-1.0,-1.0
S_3,Albeniz,2,CPM_Espana_Opus_165_Tango,MAPS,{MAPS}/SptkBGAm/MUS/MAPS_MUS-alb_esp2_SptkBGAm.wav,{A_MAPS}/MAPS_MUS-alb_esp2_SptkBGAm.mid,{A_MAPS}/MAPS_MUS-alb_esp2_SptkBGAm.mid,,,subset_S/Albeniz/2_CPM_Espana_Opus_165_Tango,S_3_MAPS.wav,S_3_A_MAPS_alb_esp2_SptkBGAm.mid,S_3_A_MAPS_alb_esp2_SptkBGAm.mid,True,S_3_A_MAPS_annotation.tsv,S_3_A_MAPS_annotation.tsv,125.45699299999988,train,-1,-1.0,-1.0
S_4,Albeniz,2,CPM_Espana_Opus_165_Tango,MAPS,{MAPS}/SptkBGCl/MUS/MAPS_MUS-alb_esp2_SptkBGCl.wav,{A_MAPS}/MAPS_MUS-alb_esp2_SptkBGCl.mid,{A_MAPS}/MAPS_MUS-alb_esp2_SptkBGCl.mid,,,subset_S/Albeniz/2_CPM_Espana_Opus_165_Tango,S_4_MAPS.wav,S_4_A_MAPS_alb_esp2_SptkBGCl.mid,S_4_A_MAPS_alb_esp2_SptkBGCl.mid,True,S_4_A_MAPS_annotation.tsv,S_4_A_MAPS_annotation.tsv,125.45699299999988,train,-1,-1.0,-1.0
S_5,Albeniz,3,CPM_Espana_Opus_165_Malaguena,MAPS,{MAPS}/AkPnCGdD/MUS/MAPS_MUS-alb_esp3_AkPnCGdD.wav,{A_MAPS}/MAPS_MUS-alb_esp3_AkPnCGdD.mid,{A_MAPS}/MAPS_MUS-alb_esp3_AkPnCGdD.mid,,,subset_S/Albeniz/3_CPM_Espana_Opus_165_Malaguena,S_5_MAPS.wav,S_5_A_MAPS_alb_esp3_AkPnCGdD.mid,S_5_A_MAPS_alb_esp3_AkPnCGdD.mid,True,S_5_A_MAPS_annotation.tsv,S_5_A_MAPS_annotation.tsv,173.26441449583308,train,-1,-1.0,-1.0
S_6,Albeniz,4,CPM_Espana_Opus_165_Serenata,MAPS,{MAPS}/AkPnStgb/MUS/MAPS_MUS-alb_esp4_AkPnStgb.wav,{A_MAPS}/MAPS_MUS-alb_esp4_AkPnStgb.mid,{A_MAPS}/MAPS_MUS-alb_esp4_AkPnStgb.mid,,,subset_S/Albeniz/4_CPM_Espana_Opus_165_Serenata,S_6_MAPS.wav,S_6_A_MAPS_alb_esp4_AkPnStgb.mid,S_6_A_MAPS_alb_esp4_AkPnStgb.mid,True,S_6_A_MAPS_annotation.tsv,S_6_A_MAPS_annotation.tsv,191.36439874999968,validation,-1,-1.0,-1.0
S_7,Albeniz,5,CPM_Espana_Opus_165_Capricho,MAPS,{MAPS}/SptkBGCl/MUS/MAPS_MUS-alb_esp5_SptkBGCl.wav,{A_MAPS}/MAPS_MUS-alb_esp5_SptkBGCl.mid,{A_MAPS}/MAPS_MUS-alb_esp5_SptkBGCl.mid,,,subset_S/Albeniz/5_CPM_Espana_Opus_165_Capricho,S_7_MAPS.wav,S_7_A_MAPS_alb_esp5_SptkBGCl.mid,S_7_A_MAPS_alb_esp5_SptkBGCl.mid,True,S_7_A_MAPS_annotation.tsv,S_7_A_MAPS_annotation.tsv,121.1689994999999,train,-1,-1.0,-1.0
S_8,Albeniz,6,CPM_Espana_Opus_165_Zortzico,MAPS,{MAPS}/SptkBGCl/MUS/MAPS_MUS-alb_esp6_SptkBGCl.wav,{A_MAPS}/MAPS_MUS-alb_esp6_SptkBGCl.mid,{A_MAPS}/MAPS_MUS-alb_esp6_SptkBGCl.mid,,,subset_S/Albeniz/6_CPM_Espana_Opus_165_Zortzico,S_8_MAPS.wav,S_8_A_MAPS_alb_esp6_SptkBGCl.mid,S_8_A_MAPS_alb_esp6_SptkBGCl.mid,True,S_8_A_MAPS_annotation.tsv,S_8_A_MAPS_annotation.tsv,152.32693726250028,train,-1,-1.0,-1.0
S_9,Albeniz,8,CPM_Suite_espanola_Cataluna,MAPS,{MAPS}/StbgTGd2/MUS/MAPS_MUS-alb_se2_StbgTGd2.wav,{A_MAPS}/MAPS_MUS-alb_se2_StbgTGd2.mid,{A_MAPS}/MAPS_MUS-alb_se2_StbgTGd2.mid,,,subset_S/Albeniz/8_CPM_Suite_espanola_Cataluna,S_9_MAPS.wav,S_9_A_MAPS_alb_se2_StbgTGd2.mid,S_9_A_MAPS_alb_se2_StbgTGd2.mid,True,S_9_A_MAPS_annotation.tsv,S_9_A_MAPS_annotation.tsv,236.97494489166644,test,-1,-1.0,-1.0
S_10,Albeniz,9,CPM_Suite_espanola_Sevilla,MAPS,{MAPS}/AkPnBcht/MUS/MAPS_MUS-alb_se3_AkPnBcht.wav,{A_MAPS}/MAPS_MUS-alb_se3_AkPnBcht.mid,{A_MAPS}/MAPS_MUS-alb_se3_AkPnBcht.mid,,,subset_S/Albeniz/9_CPM_Suite_espanola_Sevilla,S_10_MAPS.wav,S_10_A_MAPS_alb_se3_AkPnBcht.mid,S_10_A_MAPS_alb_se3_AkPnBcht.mid,True,S_10_A_MAPS_annotation.tsv,S_10_A_MAPS_annotation.tsv,248.07799700000007,train,-1,-1.0,-1.0
