performance_id,composer,piece_id,title,source,performance_audio_external,performance_MIDI_external,MIDI_score_external,folder,performance_audio,performance_MIDI,MIDI_score,split
R_1,Albeniz,8,CPM_Suite_espanola_Cataluna,MAPS,{MAPS}/ENSTDkCl/MUS/MAPS_MUS-alb_se2_ENSTDkCl.wav,{A_MAPS}/MAPS_MUS-alb_se2_ENSTDkCl.mid,{A_MAPS}/MAPS_MUS-alb_se2_ENSTDkCl.mid,subset_R/Albeniz/8_CPM_Suite_espanola_Cataluna,R_1_MAPS.wav,R_1_A_MAPS_alb_se2_ENSTDkCl.mid,R_1_A_MAPS_alb_se2_ENSTDkCl.mid,testing
R_2,Christmas,497,CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,MAPS,{MAPS}/ENSTDkAm/MUS/MAPS_MUS-bk_xmas1_ENSTDkAm.wav,{A_MAPS}/MAPS_MUS-bk_xmas1_ENSTDkAm.mid,{A_MAPS}/MAPS_MUS-bk_xmas1_ENSTDkAm.mid,subset_R/Christmas/497_CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,R_2_MAPS.wav,R_2_A_MAPS_bk_xmas1_ENSTDkAm.mid,R_2_A_MAPS_bk_xmas1_ENSTDkAm.mid,testing
R_3,Christmas,497,CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,MAPS,{MAPS}/ENSTDkCl/MUS/MAPS_MUS-bk_xmas1_ENSTDkCl.wav,{A_MAPS}/MAPS_MUS-bk_xmas1_ENSTDkCl.mid,{A_MAPS}/MAPS_MUS-bk_xmas1_ENSTDkCl.mid,subset_R/Christmas/497_CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,R_3_MAPS.wav,R_3_A_MAPS_bk_xmas1_ENSTDkCl.mid,R_3_A_MAPS_bk_xmas1_ENSTDkCl.mid,testing
R_4,Christmas,493,CPM_M.P.Heller_Joy_of_Christmas_Christmas_Fantasia,MAPS,{MAPS}/ENSTDkCl/MUS/MAPS_MUS-bk_xmas4_ENSTDkCl.wav,{A_MAPS}/MAPS_MUS-bk_xmas4_ENSTDkCl.mid,{A_MAPS}/MAPS_MUS-bk_xmas4_ENSTDkCl.mid,subset_R/Christmas/493_CPM_M.P.Heller_Joy_of_Christmas_Christmas_Fantasia,R_4_MAPS.wav,R_4_A_MAPS_bk_xmas4_ENSTDkCl.mid,R_4_A_MAPS_bk_xmas4_ENSTDkCl.mid,testing
R_5,Christmas,495,CPM_GustavLange_To_Christmas_Fantasia_Opus_172_No.5,MAPS,{MAPS}/ENSTDkCl/MUS/MAPS_MUS-bk_xmas5_ENSTDkCl.wav,{A_MAPS}/MAPS_MUS-bk_xmas5_ENSTDkCl.mid,{A_MAPS}/MAPS_MUS-bk_xmas5_ENSTDkCl.mid,subset_R/Christmas/495_CPM_GustavLange_To_Christmas_Fantasia_Opus_172_No.5,R_5_MAPS.wav,R_5_A_MAPS_bk_xmas5_ENSTDkCl.mid,R_5_A_MAPS_bk_xmas5_ENSTDkCl.mid,testing
R_6,Borodin,148,CPM_Petite_Suite_Serenade,MAPS,{MAPS}/ENSTDkCl/MUS/MAPS_MUS-bor_ps6_ENSTDkCl.wav,{A_MAPS}/MAPS_MUS-bor_ps6_ENSTDkCl.mid,{A_MAPS}/MAPS_MUS-bor_ps6_ENSTDkCl.mid,subset_R/Borodin/148_CPM_Petite_Suite_Serenade,R_6_MAPS.wav,R_6_A_MAPS_bor_ps6_ENSTDkCl.mid,R_6_A_MAPS_bor_ps6_ENSTDkCl.mid,testing
R_7,Chopin,212,CPM_Preludes_Opus_28_14,MAPS,{MAPS}/ENSTDkAm/MUS/MAPS_MUS-chpn-p14_ENSTDkAm.wav,{A_MAPS}/MAPS_MUS-chpn-p14_ENSTDkAm.mid,{A_MAPS}/MAPS_MUS-chpn-p14_ENSTDkAm.mid,subset_R/Chopin/212_CPM_Preludes_Opus_28_14,R_7_MAPS.wav,R_7_A_MAPS_chpn-p14_ENSTDkAm.mid,R_7_A_MAPS_chpn-p14_ENSTDkAm.mid,testing
R_8,Chopin,213,CPM_Preludes_Opus_28_15,MAPS,{MAPS}/ENSTDkAm/MUS/MAPS_MUS-chpn-p15_ENSTDkAm.wav,{A_MAPS}/MAPS_MUS-chpn-p15_ENSTDkAm.mid,{A_MAPS}/MAPS_MUS-chpn-p15_ENSTDkAm.mid,subset_R/Chopin/213_CPM_Preludes_Opus_28_15,R_8_MAPS.wav,R_8_A_MAPS_chpn-p15_ENSTDkAm.mid,R_8_A_MAPS_chpn-p15_ENSTDkAm.mid,testing
R_9,Chopin,217,CPM_Preludes_Opus_28_19,MAPS,{MAPS}/ENSTDkCl/MUS/MAPS_MUS-chpn-p19_ENSTDkCl.wav,{A_MAPS}/MAPS_MUS-chpn-p19_ENSTDkCl.mid,{A_MAPS}/MAPS_MUS-chpn-p19_ENSTDkCl.mid,subset_R/Chopin/217_CPM_Preludes_Opus_28_19,R_9_MAPS.wav,R_9_A_MAPS_chpn-p19_ENSTDkCl.mid,R_9_A_MAPS_chpn-p19_ENSTDkCl.mid,testing
R_10,Chopin,202,CPM_Preludes_Opus_28_4,MAPS,{MAPS}/ENSTDkAm/MUS/MAPS_MUS-chpn-p4_ENSTDkAm.wav,{A_MAPS}/MAPS_MUS-chpn-p4_ENSTDkAm.mid,{A_MAPS}/MAPS_MUS-chpn-p4_ENSTDkAm.mid,subset_R/Chopin/202_CPM_Preludes_Opus_28_4,R_10_MAPS.wav,R_10_A_MAPS_chpn-p4_ENSTDkAm.mid,R_10_A_MAPS_chpn-p4_ENSTDkAm.mid,testing
