id,composer,split,ASAP_title,CPM_title
1,Albeniz,training,,Espana_Opus_165_Prelude
2,Albeniz,training,,Espana_Opus_165_Tango
3,Albeniz,training,,Espana_Opus_165_Malaguena
4,Albeniz,training,,Espana_Opus_165_Serenata
5,Albeniz,training,,Espana_Opus_165_Capricho
6,Albeniz,training,,Espana_Opus_165_Zortzico
7,Albeniz,training,,Suite_espanola_Granada
8,Albeniz,testing,,Suite_espanola_Cataluna
9,Albeniz,training,,Suite_espanola_Sevilla
10,Albeniz,training,,Suite_espanola_Cadiz
11,Albeniz,training,,Suite_espanola_Asturias
12,Albeniz,training,,Suite_espanola_Aragon
13,Albeniz,training,,Suite_espanola_Castilla
14,Albeniz,training,,Suite_espanola_Cuba
15,Bach,training,Fugue_bwv_846,
16,Bach,validation,Fugue_bwv_848,
17,Bach,training,Fugue_bwv_854,
18,Bach,training,Fugue_bwv_856,
19,Bach,training,Fugue_bwv_857,
20,Bach,training,Fugue_bwv_858,
21,Bach,testing,Fugue_bwv_860,
22,Bach,validation,Fugue_bwv_862,
23,Bach,validation,Fugue_bwv_863,
24,Bach,validation,Fugue_bwv_864,
25,Bach,training,Fugue_bwv_865,
26,Bach,training,Fugue_bwv_866,
27,Bach,training,Fugue_bwv_867,
28,Bach,training,Fugue_bwv_868,
29,Bach,training,Fugue_bwv_870,
30,Bach,training,Fugue_bwv_873,
31,Bach,training,Fugue_bwv_874,
32,Bach,training,Fugue_bwv_875,
33,Bach,training,Fugue_bwv_876,
34,Bach,training,Fugue_bwv_880,
35,Bach,training,Fugue_bwv_883,
36,Bach,training,Fugue_bwv_884,
37,Bach,training,Fugue_bwv_885,
38,Bach,testing,Fugue_bwv_887,
39,Bach,training,Fugue_bwv_888,
40,Bach,training,Fugue_bwv_889,
41,Bach,validation,Fugue_bwv_891,
42,Bach,testing,Fugue_bwv_892,
43,Bach,training,Fugue_bwv_893,
44,Bach,training,Italian_concerto,
45,Bach,testing,Prelude_bwv_846,The_Well-Tempered_Clavier_Part1_BWV_846
46,Bach,training,,The_Well-Tempered_Clavier_Part1_BWV_847
47,Bach,training,Prelude_bwv_848,
48,Bach,training,,The_Well-Tempered_Clavier_Part1_BWV_850
49,Bach,training,Prelude_bwv_854,
50,Bach,training,Prelude_bwv_856,
51,Bach,training,Prelude_bwv_857,
52,Bach,training,Prelude_bwv_858,
53,Bach,training,Prelude_bwv_860,
54,Bach,testing,Prelude_bwv_862,
55,Bach,training,Prelude_bwv_863,
56,Bach,training,Prelude_bwv_864,
57,Bach,training,Prelude_bwv_865,
58,Bach,training,Prelude_bwv_866,
59,Bach,training,Prelude_bwv_867,
60,Bach,training,Prelude_bwv_868,
61,Bach,training,Prelude_bwv_870,
62,Bach,training,Prelude_bwv_873,
63,Bach,training,Prelude_bwv_874,
64,Bach,training,Prelude_bwv_875,
65,Bach,training,Prelude_bwv_876,
66,Bach,training,Prelude_bwv_880,
67,Bach,training,Prelude_bwv_883,
68,Bach,training,Prelude_bwv_884,
69,Bach,training,Prelude_bwv_885,
70,Bach,training,Prelude_bwv_887,
71,Bach,training,Prelude_bwv_888,
72,Bach,training,Prelude_bwv_889,
73,Bach,training,Prelude_bwv_891,
74,Bach,training,Prelude_bwv_892,
75,Bach,validation,Prelude_bwv_893,
76,Balakirev,training,Islamey,Islamej_Oriental_fantasia
77,Beethoven,training,Piano_Sonatas_1-1,
78,Beethoven,testing,Piano_Sonatas_10-1,
79,Beethoven,training,Piano_Sonatas_11-1,Sonata_No.11_Bb_major_Opus_22_1
80,Beethoven,training,Piano_Sonatas_11-2,Sonata_No.11_Bb_major_Opus_22_2
81,Beethoven,training,Piano_Sonatas_11-3,Sonata_No.11_Bb_major_Opus_22_3
