performance_id,piece_id,composer,title,source,performance_audio,performance_MIDI,MIDI_score
1,8,Albeniz,CPM_Suite_espanola_Cataluna,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-alb_se2_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-alb_se2_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-alb_se2_ENSTDkCl.mid
2,497,Christmas,CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-bk_xmas1_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-bk_xmas1_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-bk_xmas1_ENSTDkAm.mid
3,497,Christmas,CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-bk_xmas1_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-bk_xmas1_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-bk_xmas1_ENSTDkCl.mid
4,493,Christmas,CPM_M.P.Heller_Joy_of_Christmas_Christmas_Fantasia,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-bk_xmas4_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-bk_xmas4_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-bk_xmas4_ENSTDkCl.mid
5,495,Christmas,CPM_GustavLange_To_Christmas_Fantasia_Opus_172_No.5,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-bk_xmas5_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-bk_xmas5_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-bk_xmas5_ENSTDkCl.mid
6,148,Borodin,CPM_Petite_Suite_Serenade,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-bor_ps6_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-bor_ps6_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-bor_ps6_ENSTDkCl.mid
7,212,Chopin,CPM_Preludes_Opus_28_14,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn-p14_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn-p14_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-chpn-p14_ENSTDkAm.mid
8,213,Chopin,CPM_Preludes_Opus_28_15,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn-p15_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn-p15_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-chpn-p15_ENSTDkAm.mid
9,217,Chopin,CPM_Preludes_Opus_28_19,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-chpn-p19_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-chpn-p19_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-chpn-p19_ENSTDkCl.mid
10,202,Chopin,CPM_Preludes_Opus_28_4,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn-p4_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn-p4_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-chpn-p4_ENSTDkAm.mid
11,192,Chopin,CPM_Etudes_Opus_25_3,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn_op25_e3_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn_op25_e3_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-chpn_op25_e3_ENSTDkAm.mid
12,193,Chopin,CPM_Etudes_Opus_25_4,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn_op25_e4_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn_op25_e4_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-chpn_op25_e4_ENSTDkAm.mid
13,227,Chopin,CPM_4_Mazurkas_Opus_33_2,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn_op33_2_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn_op33_2_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-chpn_op33_2_ENSTDkAm.mid
14,229,Chopin,CPM_Piano_sonata_No.2_Bb_minor_Opus_35_1,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn_op35_1_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn_op35_1_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-chpn_op35_1_ENSTDkAm.mid
15,236,Chopin,CPM_Fantaisie_Impromptu_Opus_66,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn_op66_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn_op66_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-chpn_op66_ENSTDkAm.mid
16,170,Chopin,CPM_5_Mazurkas_Opus_7_1,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn_op7_1_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-chpn_op7_1_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-chpn_op7_1_ENSTDkAm.mid
17,258,Debussy,CPM_Suite_bergamasque_Clair_de_Lune,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-deb_clai_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-deb_clai_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-deb_clai_ENSTDkCl.mid
18,257,Debussy,CPM_Suite_bergamasque_Menuet,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-deb_menu_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-deb_menu_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-deb_menu_ENSTDkCl.mid
19,277,Grieg,CPM_Lyric_Pieces_Book_III_Opus_43_1_Butterfly,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-grieg_butterfly_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-grieg_butterfly_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-grieg_butterfly_ENSTDkAm.mid
20,277,Grieg,CPM_Lyric_Pieces_Book_III_Opus_43_1_Butterfly,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-grieg_butterfly_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-grieg_butterfly_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-grieg_butterfly_ENSTDkCl.mid
21,287,Grieg,CPM_Lyric_Pieces_Book_X_Opus_71_3_Puck,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-grieg_kobold_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-grieg_kobold_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-grieg_kobold_ENSTDkAm.mid
22,331,Liszt,CPM_Grandes_Etudes_de_Paganini_6,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-liz_et6_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-liz_et6_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-liz_et6_ENSTDkCl.mid
23,345,Liszt,CPM_Etudes_d'execution_transcendante_5_Feux_Follets,MAPS,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-liz_et_trans5_ENSTDkCl.wav,{MAPS}\ENSTDkCl\MUS\MAPS_MUS-liz_et_trans5_ENSTDkCl.mid,{A_MAPS}\MAPS_MUS-liz_et_trans5_ENSTDkCl.mid
24,335,Liszt,CPM_19_Hungarian_Rhapsodies_2,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-liz_rhap02_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-liz_rhap02_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-liz_rhap02_ENSTDkAm.mid
25,337,Liszt,CPM_19_Hungarian_Rhapsodies_9_Carnival_in_Pest,MAPS,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-liz_rhap09_ENSTDkAm.wav,{MAPS}\ENSTDkAm\MUS\MAPS_MUS-liz_rhap09_ENSTDkAm.mid,{A_MAPS}\MAPS_MUS-liz_rhap09_ENSTDkAm.mid
