id,composer,split,ASAP_title,CPM_title
1,Albeniz,,,Espana_Opus_165_Prelude
2,Albeniz,,,Espana_Opus_165_Tango
3,Albeniz,,,Espana_Opus_165_Malaguena
4,Albeniz,,,Espana_Opus_165_Serenata
5,Albeniz,,,Espana_Opus_165_Capricho
6,Albeniz,,,Espana_Opus_165_Zortzico
7,Albeniz,,,Suite_espanola_Granada
8,Albeniz,,,Suite_espanola_Cataluna
9,Albeniz,,,Suite_espanola_Sevilla
10,Albeniz,,,Suite_espanola_Cadiz
11,Albeniz,,,Suite_espanola_Asturias
12,Albeniz,,,Suite_espanola_Aragon
13,Albeniz,,,Suite_espanola_Castilla
14,Albeniz,,,Suite_espanola_Cuba
15,Bach,,Fugue_bwv_846,
16,Bach,,Fugue_bwv_848,
17,Bach,,Fugue_bwv_854,
18,Bach,,Fugue_bwv_856,
19,Bach,,Fugue_bwv_857,
20,Bach,,Fugue_bwv_858,
21,Bach,,Fugue_bwv_860,
22,Bach,,Fugue_bwv_862,
23,Bach,,Fugue_bwv_863,
24,Bach,,Fugue_bwv_864,
25,Bach,,Fugue_bwv_865,
26,Bach,,Fugue_bwv_866,
27,Bach,,Fugue_bwv_867,
28,Bach,,Fugue_bwv_868,
29,Bach,,Fugue_bwv_870,
30,Bach,,Fugue_bwv_873,
31,Bach,,Fugue_bwv_874,
32,Bach,,Fugue_bwv_875,
33,Bach,,Fugue_bwv_876,
34,Bach,,Fugue_bwv_880,
35,Bach,,Fugue_bwv_883,
36,Bach,,Fugue_bwv_884,
37,Bach,,Fugue_bwv_885,
38,Bach,,Fugue_bwv_887,
39,Bach,,Fugue_bwv_888,
40,Bach,,Fugue_bwv_889,
41,Bach,,Fugue_bwv_891,
42,Bach,,Fugue_bwv_892,
43,Bach,,Fugue_bwv_893,
44,Bach,,Italian_concerto,
45,Bach,,Prelude_bwv_846,The_Well-Tempered_Clavier_Part1_BWV_846
46,Bach,,,The_Well-Tempered_Clavier_Part1_BWV_847
47,Bach,,Prelude_bwv_848,
48,Bach,,,The_Well-Tempered_Clavier_Part1_BWV_850
49,Bach,,Prelude_bwv_854,
50,Bach,,Prelude_bwv_856,
51,Bach,,Prelude_bwv_857,
52,Bach,,Prelude_bwv_858,
53,Bach,,Prelude_bwv_860,
54,Bach,,Prelude_bwv_862,
55,Bach,,Prelude_bwv_863,
56,Bach,,Prelude_bwv_864,
57,Bach,,Prelude_bwv_865,
58,Bach,,Prelude_bwv_866,
59,Bach,,Prelude_bwv_867,
60,Bach,,Prelude_bwv_868,
61,Bach,,Prelude_bwv_870,
62,Bach,,Prelude_bwv_873,
63,Bach,,Prelude_bwv_874,
64,Bach,,Prelude_bwv_875,
65,Bach,,Prelude_bwv_876,
66,Bach,,Prelude_bwv_880,
67,Bach,,Prelude_bwv_883,
68,Bach,,Prelude_bwv_884,
69,Bach,,Prelude_bwv_885,
70,Bach,,Prelude_bwv_887,
71,Bach,,Prelude_bwv_888,
72,Bach,,Prelude_bwv_889,
73,Bach,,Prelude_bwv_891,
74,Bach,,Prelude_bwv_892,
75,Bach,,Prelude_bwv_893,
76,Balakirev,,Islamey,Islamej_Oriental_fantasia
77,Beethoven,,Piano_Sonatas_1-1,
78,Beethoven,,Piano_Sonatas_10-1,
79,Beethoven,,Piano_Sonatas_11-1,Sonata_No.11_Bb_major_Opus_22_1
80,Beethoven,,Piano_Sonatas_11-2,Sonata_No.11_Bb_major_Opus_22_2
81,Beethoven,,Piano_Sonatas_11-3,Sonata_No.11_Bb_major_Opus_22_3
82,Beethoven,,,Sonata_No.11_Bb_major_Opus_22_4
83,Beethoven,,Piano_Sonatas_12-1,
84,Beethoven,,Piano_Sonatas_13-4,
85,Beethoven,,,Sonata_No.14_C#_minor_Moonlight_Opus_27_2_1
86,Beethoven,,,Sonata_No.14_C#_minor_Moonlight_Opus_27_2_2
87,Beethoven,,Piano_Sonatas_14-3,Sonata_No.14_C#_minor_Moonlight_Opus_27_2_3
88,Beethoven,,Piano_Sonatas_15-1,
89,Beethoven,,Piano_Sonatas_15-4,
90,Beethoven,,Piano_Sonatas_16-1,
91,Beethoven,,Piano_Sonatas_16-2,
92,Beethoven,,Piano_Sonatas_17-1,
93,Beethoven,,Piano_Sonatas_17-2,
94,Beethoven,,Piano_Sonatas_17-3,
95,Beethoven,,Piano_Sonatas_18-1,
96,Beethoven,,Piano_Sonatas_18-2,
97,Beethoven,,Piano_Sonatas_18-3,
98,Beethoven,,Piano_Sonatas_18-4,
99,Beethoven,,Piano_Sonatas_2-1,
100,Beethoven,,Piano_Sonatas_21-1,Sonata_No.21_C_major_Waldstein_Opus_53_1
101,Beethoven,,Piano_Sonatas_21-2,Sonata_No.21_C_major_Waldstein_Opus_53_2
102,Beethoven,,Piano_Sonatas_21-3,Sonata_No.21_C_major_Waldstein_Opus_53_3
103,Beethoven,,Piano_Sonatas_22-1,
104,Beethoven,,Piano_Sonatas_22-2,
105,Beethoven,,Piano_Sonatas_23-1,Sonata_No.23_F_minor_Appassionata_Opus_57_1
106,Beethoven,,,Sonata_No.23_F_minor_Appassionata_Opus_57_2
107,Beethoven,,,Sonata_No.23_F_minor_Appassionata_Opus_57_3
108,Beethoven,,Piano_Sonatas_24-1,
109,Beethoven,,Piano_Sonatas_24-2,
110,Beethoven,,Piano_Sonatas_26-1,Sonata_No.26_Eb_major_Les_Adieux_Opus_81a_1
111,Beethoven,,Piano_Sonatas_26-2,Sonata_No.26_Eb_major_Les_Adieux_Opus_81a_2
112,Beethoven,,Piano_Sonatas_26-3,Sonata_No.26_Eb_major_Les_Adieux_Opus_81a_3
113,Beethoven,,Piano_Sonatas_27-1,Sonata_No.27_E_minor_Opus_90_1
114,Beethoven,,Piano_Sonatas_27-2,Sonata_No.27_E_minor_Opus_90_2
115,Beethoven,,Piano_Sonatas_28-1,
116,Beethoven,,Piano_Sonatas_28-2,
117,Beethoven,,,Sonata_No.29_Bb_major_Hammerklavier_Opus_106_1
118,Beethoven,,Piano_Sonatas_29-2,Sonata_No.29_Bb_major_Hammerklavier_Opus_106_2
119,Beethoven,,Piano_Sonatas_29-3,Sonata_No.29_Bb_major_Hammerklavier_Opus_106_3
120,Beethoven,,Piano_Sonatas_29-4,Sonata_No.29_Bb_major_Hammerklavier_Opus_106_4
121,Beethoven,,Piano_Sonatas_3-1,
122,Beethoven,,Piano_Sonatas_3-2,
123,Beethoven,,Piano_Sonatas_30-1,
124,Beethoven,,Piano_Sonatas_31-1,
125,Beethoven,,Piano_Sonatas_31-2,
126,Beethoven,,Piano_Sonatas_31-3_4,
127,Beethoven,,Piano_Sonatas_32-1,
128,Beethoven,,Piano_Sonatas_4-1,
