performance_id,piece_id,composer,title,source,performance_audio,performance_MIDI,MIDI_score,split
S_1,2,Albeniz,CPM_Espana_Opus_165_Tango,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-alb_esp2_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-alb_esp2_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-alb_esp2_AkPnCGdD.mid,training
S_2,2,Albeniz,CPM_Espana_Opus_165_Tango,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-alb_esp2_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-alb_esp2_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-alb_esp2_AkPnStgb.mid,training
S_3,2,Albeniz,CPM_Espana_Opus_165_Tango,MAPS,{MAPS}\SptkBGAm\MUS\MAPS_MUS-alb_esp2_SptkBGAm.wav,{MAPS}\SptkBGAm\MUS\MAPS_MUS-alb_esp2_SptkBGAm.mid,{A_MAPS}\MAPS_MUS-alb_esp2_SptkBGAm.mid,training
S_4,2,Albeniz,CPM_Espana_Opus_165_Tango,MAPS,{MAPS}\SptkBGCl\MUS\MAPS_MUS-alb_esp2_SptkBGCl.wav,{MAPS}\SptkBGCl\MUS\MAPS_MUS-alb_esp2_SptkBGCl.mid,{A_MAPS}\MAPS_MUS-alb_esp2_SptkBGCl.mid,training
S_5,3,Albeniz,CPM_Espana_Opus_165_Malaguena,MAPS,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-alb_esp3_AkPnCGdD.wav,{MAPS}\AkPnCGdD\MUS\MAPS_MUS-alb_esp3_AkPnCGdD.mid,{A_MAPS}\MAPS_MUS-alb_esp3_AkPnCGdD.mid,training
S_6,4,Albeniz,CPM_Espana_Opus_165_Serenata,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-alb_esp4_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-alb_esp4_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-alb_esp4_AkPnStgb.mid,training
S_7,5,Albeniz,CPM_Espana_Opus_165_Capricho,MAPS,{MAPS}\SptkBGCl\MUS\MAPS_MUS-alb_esp5_SptkBGCl.wav,{MAPS}\SptkBGCl\MUS\MAPS_MUS-alb_esp5_SptkBGCl.mid,{A_MAPS}\MAPS_MUS-alb_esp5_SptkBGCl.mid,training
S_8,6,Albeniz,CPM_Espana_Opus_165_Zortzico,MAPS,{MAPS}\SptkBGCl\MUS\MAPS_MUS-alb_esp6_SptkBGCl.wav,{MAPS}\SptkBGCl\MUS\MAPS_MUS-alb_esp6_SptkBGCl.mid,{A_MAPS}\MAPS_MUS-alb_esp6_SptkBGCl.mid,training
S_9,8,Albeniz,CPM_Suite_espanola_Cataluna,MAPS,{MAPS}\StbgTGd2\MUS\MAPS_MUS-alb_se2_StbgTGd2.wav,{MAPS}\StbgTGd2\MUS\MAPS_MUS-alb_se2_StbgTGd2.mid,{A_MAPS}\MAPS_MUS-alb_se2_StbgTGd2.mid,testing
S_10,9,Albeniz,CPM_Suite_espanola_Sevilla,MAPS,{MAPS}\AkPnBcht\MUS\MAPS_MUS-alb_se3_AkPnBcht.wav,{MAPS}\AkPnBcht\MUS\MAPS_MUS-alb_se3_AkPnBcht.mid,{A_MAPS}\MAPS_MUS-alb_se3_AkPnBcht.mid,training
S_11,9,Albeniz,CPM_Suite_espanola_Sevilla,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-alb_se3_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-alb_se3_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-alb_se3_AkPnBsdf.mid,training
S_12,10,Albeniz,CPM_Suite_espanola_Cadiz,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-alb_se4_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-alb_se4_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-alb_se4_AkPnBsdf.mid,training
S_13,12,Albeniz,CPM_Suite_espanola_Aragon,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-alb_se6_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-alb_se6_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-alb_se6_AkPnStgb.mid,training
S_14,13,Albeniz,CPM_Suite_espanola_Castilla,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-alb_se7_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-alb_se7_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-alb_se7_AkPnBsdf.mid,training
S_15,14,Albeniz,CPM_Suite_espanola_Cuba,MAPS,{MAPS}\SptkBGAm\MUS\MAPS_MUS-alb_se8_SptkBGAm.wav,{MAPS}\SptkBGAm\MUS\MAPS_MUS-alb_se8_SptkBGAm.mid,{A_MAPS}\MAPS_MUS-alb_se8_SptkBGAm.mid,training
S_16,105,Beethoven,CPM_Sonata_No.23_F_minor_Appassionata_Opus_57_1,MAPS,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-appass_1_AkPnBsdf.wav,{MAPS}\AkPnBsdf\MUS\MAPS_MUS-appass_1_AkPnBsdf.mid,{A_MAPS}\MAPS_MUS-appass_1_AkPnBsdf.mid,testing
S_17,105,Beethoven,CPM_Sonata_No.23_F_minor_Appassionata_Opus_57_1,MAPS,{MAPS}\SptkBGCl\MUS\MAPS_MUS-appass_1_SptkBGCl.wav,{MAPS}\SptkBGCl\MUS\MAPS_MUS-appass_1_SptkBGCl.mid,{A_MAPS}\MAPS_MUS-appass_1_SptkBGCl.mid,testing
S_18,107,Beethoven,CPM_Sonata_No.23_F_minor_Appassionata_Opus_57_3,MAPS,{MAPS}\AkPnStgb\MUS\MAPS_MUS-appass_3_AkPnStgb.wav,{MAPS}\AkPnStgb\MUS\MAPS_MUS-appass_3_AkPnStgb.mid,{A_MAPS}\MAPS_MUS-appass_3_AkPnStgb.mid,training
